timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
153542513428,11491,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
153542547074,11492,-2,0,-0.0044444444,0.0166666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
153542578079,11493,-2,0,-0.0055555556,0.0033333333,-0.0011111111,0.0000000000,0.0000000000,0.0000000000,-3.1000000000,-1.1400000000,-8.8400000000
153542610657,11494,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-3.1000000000,-1.1400000000,-8.8300000000
153542639361,11495,-2,0,0.0011111111,-0.0100000000,-0.0022222222,13.8125000000,17.8125000000,23.8750000000,-3.1800000000,-1.1300000000,-8.8200000000
153542739361,11496,-2,0,0.0011111111,-0.0133333333,0.0000000000,13.8125000000,17.8125000000,23.8750000000,-3.1100000000,-1.1100000000,-8.8300000000
153542749453,11497,-2,0,0.0000000000,-0.0155555556,0.0000000000,13.8125000000,17.8125000000,23.8750000000,-3.0400000000,-1.1200000000,-8.8400000000
153542759359,11498,-2,0,-0.0055555556,-0.0133333333,-0.0011111111,11.3750000000,18.5625000000,23.8750000000,-3.0600000000,-1.1200000000,-8.8400000000
153542773295,11499,-2,0,-0.0055555556,-0.0100000000,-0.0033333333,11.3750000000,18.5625000000,23.8750000000,-3.0800000000,-1.1300000000,-8.8400000000
153542819468,11500,-2,0,-0.0044444444,-0.0100000000,0.0011111111,11.3750000000,18.5625000000,23.8750000000,-3.0300000000,-1.1300000000,-8.7900000000
153542830577,11501,-2,0,-0.0022222222,0.0077777778,0.0000000000,12.1875000000,17.1250000000,24.2500000000,-3.0700000000,-1.1300000000,-8.8100000000
153542859291,11502,-2,0,0.0000000000,0.0066666667,0.0000000000,12.1875000000,17.1250000000,24.2500000000,-3.1300000000,-1.1200000000,-8.8300000000
153542898297,11503,-2,0,0.0000000000,-0.0033333333,-0.0011111111,12.1875000000,17.1250000000,24.2500000000,-3.0800000000,-1.1500000000,-8.8500000000
153542925886,11504,-2,0,0.0000000000,-0.0077777778,-0.0044444444,12.1875000000,17.1250000000,24.2500000000,-3.0700000000,-1.1400000000,-8.8300000000
153542954449,11505,-2,0,0.0011111111,-0.0100000000,-0.0066666667,13.8125000000,18.1875000000,24.6250000000,-3.1300000000,-1.1200000000,-8.8200000000
153542984318,11506,-2,0,0.0022222222,-0.0033333333,0.0011111111,13.8125000000,18.1875000000,24.6250000000,-3.1300000000,-1.0900000000,-8.8300000000
153543060583,11507,-2,0,-0.0033333333,0.0011111111,-0.0011111111,13.8125000000,18.1875000000,24.6250000000,-3.0100000000,-1.1800000000,-8.8100000000
153543104305,11508,-2,0,-0.0055555556,-0.0055555556,-0.0022222222,12.5625000000,17.5000000000,25.3750000000,-3.1400000000,-1.1100000000,-8.8600000000
153543116892,11509,-2,0,-0.0066666667,-0.0100000000,-0.0066666667,12.5625000000,17.5000000000,25.3750000000,-3.0300000000,-1.1600000000,-8.8500000000
153543130572,11510,-2,0,-0.0033333333,-0.0144444444,-0.0066666667,12.5625000000,17.5000000000,25.3750000000,-3.0100000000,-1.1800000000,-8.8000000000
153543154306,11511,-2,0,0.0066666667,-0.0133333333,0.0000000000,12.5625000000,17.8125000000,23.5000000000,-3.0100000000,-1.1400000000,-8.8200000000
153543173133,11512,-2,0,0.0100000000,-0.0022222222,-0.0011111111,12.5625000000,17.8125000000,23.5000000000,-3.0400000000,-1.1100000000,-8.8100000000
153543210748,11513,-2,0,0.0022222222,0.0055555556,-0.0022222222,12.5625000000,17.8125000000,23.5000000000,-3.0000000000,-1.1200000000,-8.8500000000
153543237097,11514,-2,0,-0.0022222222,0.0033333333,-0.0033333333,10.9375000000,17.8125000000,24.2500000000,-3.0400000000,-1.1000000000,-8.8200000000
153543264964,11515,-2,0,-0.0066666667,0.0077777778,-0.0033333333,10.9375000000,17.8125000000,24.2500000000,-3.0900000000,-1.1100000000,-8.8400000000
153543297163,11516,-2,0,-0.0022222222,0.0077777778,-0.0022222222,10.9375000000,17.8125000000,24.2500000000,-3.0100000000,-1.1500000000,-8.8400000000
153543327003,11517,-2,0,0.0000000000,0.0000000000,-0.0066666667,12.1875000000,19.3125000000,25.7500000000,-3.0500000000,-1.1700000000,-8.8800000000
153543360541,11518,-2,0,0.0066666667,-0.0088888889,-0.0044444444,12.1875000000,19.3125000000,25.7500000000,-3.1200000000,-1.1500000000,-8.8300000000
153543455606,11519,-2,0,0.0088888889,-0.0188888889,-0.0066666667,12.1875000000,19.3125000000,25.7500000000,-3.0300000000,-1.1200000000,-8.8100000000
153543490605,11520,-2,0,0.0088888889,-0.0166666667,-0.0033333333,12.1875000000,19.3125000000,25.7500000000,-2.9700000000,-1.1100000000,-8.8300000000
153543500603,11521,-2,0,0.0022222222,-0.0088888889,-0.0077777778,13.3750000000,17.8750000000,25.3750000000,-3.0900000000,-1.1100000000,-8.8300000000
153543509341,11522,5,0,0.0000000000,0.0000000000,-0.0088888889,13.3750000000,17.8750000000,25.3750000000,-3.0100000000,-1.1300000000,-8.8400000000
153543517038,11523,5,0,0.0000000000,0.0000000000,-0.0088888889,13.3750000000,17.8750000000,25.3750000000,-3.0000000000,-1.1300000000,-8.8400000000
153543546862,11524,5,0,0.0022222222,0.0000000000,-0.0033333333,11.7500000000,18.1875000000,24.6250000000,-3.0300000000,-1.1400000000,-8.8300000000
153543578205,11525,5,0,0.0022222222,0.0100000000,-0.0077777778,11.7500000000,18.1875000000,24.6250000000,-3.0500000000,-1.1200000000,-8.8100000000
153543609473,11526,5,0,0.0000000000,0.0177777778,0.0000000000,11.7500000000,18.1875000000,24.6250000000,-3.0000000000,-1.1200000000,-8.8400000000
153543640676,11527,5,0,0.0000000000,0.0100000000,-0.0022222222,12.1875000000,18.1875000000,25.7500000000,-3.0100000000,-1.1200000000,-8.8600000000
153543669838,11528,5,0,0.0022222222,-0.0033333333,-0.0033333333,12.1875000000,18.1875000000,25.7500000000,-3.0700000000,-1.1000000000,-8.8400000000
153543700828,11529,5,0,0.0022222222,-0.0066666667,0.0000000000,12.1875000000,18.1875000000,25.7500000000,-2.9800000000,-1.1200000000,-8.8500000000
153543734551,11530,5,0,0.0077777778,-0.0077777778,-0.0011111111,13.0000000000,18.5625000000,22.7500000000,-3.0100000000,-1.0500000000,-8.7800000000
153543819413,11531,5,0,-0.0011111111,-0.0011111111,0.0000000000,13.0000000000,18.5625000000,22.7500000000,-3.1500000000,-1.1000000000,-8.8800000000
153543836134,11532,5,0,-0.0100000000,0.0044444444,-0.0022222222,13.0000000000,18.5625000000,22.7500000000,-2.9900000000,-1.1200000000,-8.8800000000
153543844459,11533,5,0,-0.0100000000,-0.0122222222,-0.0044444444,14.2500000000,19.3125000000,24.6250000000,-3.0000000000,-1.1400000000,-8.8500000000
153543861963,11534,5,0,-0.0044444444,-0.0122222222,-0.0011111111,14.2500000000,19.3125000000,24.6250000000,-3.0700000000,-1.1800000000,-8.8100000000
153543893091,11535,5,0,0.0033333333,-0.0133333333,-0.0022222222,14.2500000000,19.3125000000,24.6250000000,-2.9700000000,-1.1500000000,-8.8400000000
153543921923,11536,5,0,0.0088888889,-0.0077777778,0.0000000000,14.2500000000,19.3125000000,24.6250000000,-2.9700000000,-1.1000000000,-8.8300000000
153543953222,11537,5,0,0.0033333333,0.0000000000,0.0011111111,11.8125000000,20.0625000000,26.1250000000,-3.0900000000,-1.0700000000,-8.8400000000
153543985698,11538,5,0,-0.0033333333,0.0055555556,-0.0011111111,11.8125000000,20.0625000000,26.1250000000,-2.9900000000,-1.1100000000,-8.8600000000
153544020884,11539,5,0,-0.0100000000,0.0066666667,0.0000000000,11.8125000000,20.0625000000,26.1250000000,-2.9800000000,-1.1300000000,-8.8300000000
153544044406,11540,5,0,-0.0088888889,0.0100000000,0.0000000000,11.3750000000,17.8750000000,25.3750000000,-3.0300000000,-1.1100000000,-8.8200000000
153544099024,11541,5,0,0.0000000000,0.0044444444,0.0011111111,11.3750000000,17.8750000000,25.3750000000,-3.0600000000,-1.1500000000,-8.8600000000
153544158387,11542,5,0,0.0000000000,-0.0033333333,-0.0011111111,11.3750000000,17.8750000000,25.3750000000,-3.0200000000,-1.1500000000,-8.8700000000
153544204685,11543,5,0,0.0000000000,-0.0088888889,0.0000000000,12.1875000000,18.2500000000,23.8750000000,-2.9800000000,-1.1300000000,-8.8500000000
153544213105,11544,5,0,0.0044444444,-0.0144444444,0.0000000000,12.1875000000,18.2500000000,23.8750000000,-3.0200000000,-1.1300000000,-8.8500000000
153544219412,11545,5,0,0.0022222222,-0.0200000000,-0.0011111111,12.1875000000,18.2500000000,23.8750000000,-2.9900000000,-1.1400000000,-8.8400000000
153544238259,11546,5,0,-0.0011111111,-0.0155555556,-0.0011111111,13.8125000000,17.1250000000,25.3750000000,-2.9500000000,-1.1200000000,-8.8500000000
153544264461,11547,5,0,-0.0044444444,-0.0133333333,-0.0022222222,13.8125000000,17.1250000000,25.3750000000,-3.0200000000,-1.1400000000,-8.8500000000
153544294353,11548,5,0,0.0000000000,-0.0066666667,-0.0022222222,13.8125000000,17.1250000000,25.3750000000,-2.9300000000,-1.1600000000,-8.8500000000
153544324424,11549,5,0,0.0066666667,0.0000000000,-0.0044444444,13.0000000000,18.2500000000,23.8750000000,-2.9300000000,-1.1400000000,-8.8400000000
153544358225,11550,5,0,0.0044444444,0.0144444444,0.0000000000,13.0000000000,18.2500000000,23.8750000000,-3.0600000000,-1.1200000000,-8.8200000000
153544390544,11551,5,0,0.0000000000,0.0155555556,-0.0022222222,13.0000000000,18.2500000000,23.8750000000,-2.9400000000,-1.1200000000,-8.8800000000
153544425705,11552,5,0,-0.0011111111,0.0100000000,-0.0055555556,13.0000000000,18.2500000000,23.8750000000,-2.9500000000,-1.1400000000,-8.8800000000
153544473826,11553,5,0,0.0000000000,0.0022222222,-0.0055555556,11.8125000000,18.9375000000,24.6250000000,-3.0600000000,-1.1400000000,-8.8900000000
153544504698,11554,5,0,0.0100000000,-0.0011111111,-0.0066666667,11.8125000000,18.9375000000,24.6250000000,-2.9600000000,-1.0600000000,-8.8000000000
153544567183,11555,5,0,0.0033333333,0.0100000000,0.0011111111,11.8125000000,18.9375000000,24.6250000000,-3.0100000000,-1.1000000000,-8.8700000000
153544575684,11556,5,0,-0.0077777778,0.0200000000,-0.0044444444,11.8125000000,18.2500000000,22.7500000000,-2.9700000000,-1.1300000000,-8.8600000000
153544585670,11557,5,0,-0.0044444444,0.0011111111,-0.0011111111,11.8125000000,18.2500000000,22.7500000000,-3.0000000000,-1.1200000000,-8.8600000000
153544616892,11558,5,0,-0.0022222222,-0.0066666667,-0.0088888889,11.8125000000,18.2500000000,22.7500000000,-2.9300000000,-1.1600000000,-8.8100000000
153544639377,11559,5,0,0.0066666667,-0.0055555556,-0.0033333333,12.1875000000,18.2500000000,24.6250000000,-2.9600000000,-1.1200000000,-8.8200000000
153544669387,11560,5,0,0.0166666667,-0.0022222222,0.0044444444,12.1875000000,18.2500000000,24.6250000000,-2.9900000000,-1.0800000000,-8.8300000000
153544699305,11561,5,0,0.0066666667,0.0066666667,0.0033333333,12.1875000000,18.2500000000,24.6250000000,-2.9800000000,-1.0600000000,-8.8300000000
153544746890,11562,5,0,-0.0011111111,0.0044444444,0.0022222222,12.6250000000,18.6250000000,25.3750000000,-2.9600000000,-1.1100000000,-8.8900000000
153544779374,11563,5,0,-0.0055555556,0.0011111111,-0.0011111111,12.6250000000,18.6250000000,25.3750000000,-3.0100000000,-1.1300000000,-8.8400000000
153544789095,11564,5,0,-0.0055555556,0.0044444444,-0.0044444444,12.6250000000,18.6250000000,25.3750000000,-2.9700000000,-1.1400000000,-8.8200000000
153544825693,11565,5,0,0.0011111111,0.0000000000,0.0000000000,12.1875000000,18.6250000000,25.0000000000,-2.9600000000,-1.1400000000,-8.8300000000
153544905897,11566,5,0,0.0022222222,-0.0055555556,0.0000000000,12.1875000000,18.6250000000,25.0000000000,-3.0800000000,-1.1300000000,-8.8600000000
153544947154,11567,5,0,0.0000000000,-0.0077777778,0.0000000000,12.1875000000,18.6250000000,25.0000000000,-2.9800000000,-1.1100000000,-8.8300000000
153544960889,11568,5,0,-0.0011111111,-0.0100000000,0.0000000000,12.1875000000,18.6250000000,25.0000000000,-2.9300000000,-1.1000000000,-8.8600000000
153544970617,11569,5,0,-0.0022222222,-0.0188888889,-0.0055555556,12.6250000000,17.8750000000,23.8750000000,-3.0100000000,-1.1000000000,-8.8400000000
153544992020,11570,5,0,-0.0044444444,-0.0155555556,-0.0055555556,12.6250000000,17.8750000000,23.8750000000,-2.9700000000,-1.1200000000,-8.8600000000
153545015811,11571,5,0,-0.0033333333,-0.0066666667,0.0000000000,12.6250000000,17.8750000000,23.8750000000,-2.9000000000,-1.1300000000,-8.8300000000
153545050878,11572,5,0,-0.0022222222,0.0000000000,-0.0033333333,11.8125000000,18.9375000000,25.3750000000,-2.9100000000,-1.1100000000,-8.8800000000
153545083168,11573,5,0,0.0011111111,0.0022222222,-0.0055555556,11.8125000000,18.9375000000,25.3750000000,-2.9800000000,-1.1300000000,-8.8400000000
153545108105,11574,5,0,-0.0011111111,0.0077777778,-0.0055555556,11.8125000000,18.9375000000,25.3750000000,-2.9200000000,-1.1200000000,-8.8500000000
153545139427,11575,5,0,0.0000000000,0.0033333333,0.0000000000,12.1875000000,17.5000000000,23.8750000000,-2.9000000000,-1.1300000000,-8.8500000000
153545173223,11576,5,0,-0.0033333333,0.0000000000,-0.0033333333,12.1875000000,17.5000000000,23.8750000000,-2.9900000000,-1.1300000000,-8.8600000000
153545201826,11577,5,0,-0.0022222222,0.0000000000,0.0011111111,12.1875000000,17.5000000000,23.8750000000,-2.9500000000,-1.1100000000,-8.8700000000
153545303250,11578,5,0,0.0022222222,0.0100000000,-0.0100000000,13.4375000000,18.6250000000,23.5000000000,-2.9200000000,-1.0900000000,-8.7800000000
153545312503,11579,5,0,0.0000000000,0.0111111111,-0.0011111111,13.4375000000,18.6250000000,23.5000000000,-3.0900000000,-1.1100000000,-8.8900000000
153545322021,11580,5,0,-0.0077777778,0.0133333333,-0.0022222222,13.4375000000,18.6250000000,23.5000000000,-2.9300000000,-1.1500000000,-8.8700000000
153545330816,11581,5,0,-0.0033333333,-0.0066666667,0.0000000000,13.8125000000,17.5000000000,24.2500000000,-2.9500000000,-1.1000000000,-8.8900000000
153545381964,11582,5,0,-0.0088888889,-0.0044444444,-0.0088888889,13.8125000000,17.5000000000,24.2500000000,-2.9800000000,-1.1300000000,-8.8100000000
