timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
153542513428,11491,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542547074,11492,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542578079,11493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542610657,11494,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542639361,11495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542739361,11496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542749453,11497,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542759359,11498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542773295,11499,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542819468,11500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542830577,11501,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542859291,11502,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542898297,11503,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542925886,11504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542954449,11505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153542984318,11506,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543060583,11507,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543104305,11508,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543116892,11509,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543130572,11510,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543154306,11511,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543173133,11512,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543210748,11513,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543237097,11514,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543264964,11515,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153543297163,11516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
