timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
159830799530,22299,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
159830858293,22300,-2,0,-0.0066666667,0.0066666667,0.0166666667,0.0000000000,0.0000000000,0.0000000000,-1.3600000000,-1.5300000000,-9.2500000000
159830886250,22301,-2,0,-0.0066666667,-0.0044444444,0.0122222222,0.0000000000,0.0000000000,0.0000000000,-1.3300000000,-1.4900000000,-9.2400000000
159830919400,22302,-2,0,-0.0033333333,-0.0022222222,0.0066666667,0.0000000000,0.0000000000,0.0000000000,-1.2900000000,-1.4700000000,-9.2300000000
159830933251,22303,-2,0,0.0022222222,0.0000000000,0.0000000000,9.0625000000,20.8750000000,26.5000000000,-1.3900000000,-1.4700000000,-9.2600000000
159830961933,22304,-2,0,-0.0011111111,-0.0055555556,-0.0088888889,9.0625000000,20.8750000000,26.5000000000,-1.3000000000,-1.4900000000,-9.2600000000
159830986981,22305,-2,0,0.0000000000,-0.0066666667,-0.0144444444,9.0625000000,20.8750000000,26.5000000000,-1.2900000000,-1.5300000000,-9.2400000000
159831018289,22306,-2,0,0.0000000000,-0.0022222222,-0.0055555556,5.7500000000,19.7500000000,26.5000000000,-1.3900000000,-1.5300000000,-9.2700000000
159831049310,22307,-2,0,0.0044444444,0.0011111111,0.0022222222,5.7500000000,19.7500000000,26.5000000000,-1.2800000000,-1.4700000000,-9.2100000000
159831083088,22308,-2,0,0.0055555556,0.0066666667,-0.0066666667,5.7500000000,19.7500000000,26.5000000000,-1.2800000000,-1.5000000000,-9.2400000000
159831111849,22309,-2,0,0.0022222222,0.0044444444,-0.0066666667,7.0000000000,20.5000000000,25.3750000000,-1.3600000000,-1.5200000000,-9.3200000000
159831144374,22310,-2,0,-0.0033333333,0.0000000000,0.0000000000,7.0000000000,20.5000000000,25.3750000000,-1.3300000000,-1.5200000000,-9.3000000000
159831174443,22311,-2,0,0.0066666667,-0.0044444444,-0.0011111111,7.0000000000,20.5000000000,25.3750000000,-1.2600000000,-1.4800000000,-9.2800000000
159831277156,22312,-2,0,0.0000000000,-0.0033333333,0.0155555556,7.8125000000,19.0000000000,25.0000000000,-1.2900000000,-1.4200000000,-9.2400000000
159831289438,22313,-2,0,0.0066666667,0.0077777778,-0.0266666667,7.8125000000,19.0000000000,25.0000000000,-1.3000000000,-1.4100000000,-9.2100000000
159831298357,22314,-2,0,-0.0144444444,-0.0066666667,-0.0333333333,7.8125000000,19.0000000000,25.0000000000,-1.3600000000,-1.5600000000,-9.4300000000
159831305603,22315,-2,0,-0.0122222222,-0.0100000000,0.0155555556,8.1875000000,19.3750000000,25.0000000000,-1.2500000000,-1.5500000000,-9.1400000000
159831333251,22316,-2,0,0.0077777778,0.0000000000,0.0244444444,8.1875000000,19.3750000000,25.0000000000,-1.3500000000,-1.5100000000,-9.2600000000
159831368170,22317,-2,0,0.0044444444,-0.0055555556,0.0277777778,8.1875000000,19.3750000000,25.0000000000,-1.2700000000,-1.4600000000,-9.2300000000
159831393292,22318,-2,0,0.0033333333,0.0077777778,0.0222222222,8.1875000000,19.3750000000,25.0000000000,-1.2900000000,-1.3800000000,-9.2300000000
159831426844,22319,-2,0,0.0077777778,0.0022222222,-0.0188888889,6.1250000000,20.5000000000,24.6250000000,-1.3800000000,-1.4400000000,-9.3100000000
