timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
159830799530,22299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159830858293,22300,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159830886250,22301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159830919400,22302,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159830933251,22303,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159830961933,22304,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159830986981,22305,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831018289,22306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831049310,22307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831083088,22308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831111849,22309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831144374,22310,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831174443,22311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831277156,22312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831289438,22313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831298357,22314,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831305603,22315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831333251,22316,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831368170,22317,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831393292,22318,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831426844,22319,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831460683,22320,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159831489363,22321,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
