timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
158241766452,6857,-2,0,-3685.4736907009,-10797.6141606787,23705.3503043921,-11581.1773329857,9959.3936942431,1.9103284012,13353.7795738487,20279.2675745626,-9526.4792089796,-11363.1322059186,7819.9110587747,1251.5449598142,-15451.4174999430,5919.6331751486,-18747.8534201240,-6199.4171958953
158241766452,6857,-2,0,-3694.9036557387,-10801.0576188796,23692.5742227280,-11587.1516721258,9956.0110745263,-2.4822101519,13352.5871395601,20277.9291279121,-9530.8960829264,-11369.2160543301,7817.4288486228,1248.6490479703,-15452.9993005300,5912.2838862675,-18753.0733620610,-6201.0841703600
158241766452,6857,-2,0,-3698.6513063601,-10800.7169233686,23683.4484501108,-11589.5730437936,9954.4049385457,-3.2001042644,13351.5650530270,20275.3252407920,-9532.4900512102,-11371.0898796408,7814.7519553218,1246.0329931534,-15453.5590145838,5901.4546360951,-18758.0621177584,-6202.7876479153
158241766452,6857,-2,0,-3688.0410747305,-10796.2270432409,23689.8608263365,-11583.1850029615,9957.1061672404,0.1216769682,13353.2320274917,20277.2112337996,-9530.8839152295,-11368.8023526381,7815.2751662852,1246.6413779945,-15452.5004249602,5900.0431832636,-18761.4812405657,-6203.9435791134
158241766452,6857,-2,0,-3676.8467936534,-10795.1684536173,23704.2917147685,-11578.9628121640,9959.2111787907,2.0806761567,13355.9697592769,20280.4600088513,-9529.3386177330,-11365.9307761879,7816.3459236056,1248.9167373004,-15453.1088098014,5906.1148639783,-18762.3086439496,-6203.4812066342
158241766452,6857,-2,0,-3681.4340153557,-10799.2081289625,23705.5936583285,-11583.1363321742,9957.7145520815,0.4137016920,13356.5416410275,20280.2774933989,-9528.7667359823,-11366.5634964227,7817.0638177181,1250.1335069827,-15452.9871328332,5909.7651730252,-18760.5686633040,-6201.5100397488
158241766452,6857,-2,0,-3691.5453714156,-10800.7655941559,23695.2876191195,-11586.7379704338,9955.1593357487,-0.5475463570,13356.1036039419,20280.8615428464,-9529.1439345838,-11365.8942730974,7817.4045132292,1251.2042643031,-15452.6099342317,5909.5583221792,-18756.2004601445,-6199.3685251080
158241766452,6857,-2,0,-3693.1393396994,-10798.1860424294,23686.0766726245,-11587.5045353337,9955.5730374407,-0.6448879316,13355.1545235897,20279.3892515309,-9529.8861640900,-11364.4219817818,7817.0273146277,1250.3403578287,-15452.9506297427,5911.1644581598,-18754.8620134940,-6198.3221031812
158241833819,6859,-2,0,-3704.3579561701,-10792.7349142527,23699.6436545821,-11583.5013630789,9952.9326472301,-1.9955022790,13354.1446047534,20280.7885366655,-9533.5121377433,-11370.7978549171,7814.1557381775,1252.9929157361,-15456.2845786722,5909.4853159982,-18756.8210126825,-6201.2058473283
158241833819,6859,-2,0,-3714.2867967776,-10793.5136468494,23688.5588827764,-11589.8042300332,9950.9371449511,-5.2686127243,13350.1901032860,20274.3153219557,-9535.8361678365,-11372.6473448341,7810.8217892480,1249.7684760780,-15457.5135160513,5916.5547478524,-18756.1882924477,-6201.8385675631
