timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
158681381824,14587,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681400523,14588,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681423181,14589,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681456706,14590,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681486839,14591,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681519284,14592,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681551831,14593,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681584105,14594,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681639231,14595,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681700365,14596,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681710509,14597,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681722998,14598,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681752017,14599,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681776716,14600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681806802,14601,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681842034,14602,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681865490,14603,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681895427,14604,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681942866,14605,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158681960371,14606,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682031834,14607,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682060639,14608,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682089597,14609,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682092167,14610,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682118411,14611,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682143097,14612,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682174356,14613,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682205603,14614,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682236871,14615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158682269250,14616,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
