timestamp,sequence,battery,flags,D in-ch1
159715027664,19697,-2,0,0.0000000000
159715027664,19697,-2,0,0.0000000000
159715027664,19697,-2,0,0.0000000000
159715027664,19697,-2,0,0.0000000000
159715027664,19697,-2,0,0.0000000000
159715027664,19697,-2,0,0.0000000000
159715027664,19697,-2,0,0.0000000000
159715027664,19697,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715035292,19698,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715048434,19699,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715078679,19700,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715108575,19701,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715141719,19702,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715171573,19703,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715202796,19704,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715231556,19705,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715262976,19706,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715300228,19707,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715390445,19708,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715425136,19709,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715433896,19710,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715438859,19711,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715448587,19712,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715479506,19713,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715527557,19714,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715545419,19715,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715579022,19716,-2,0,0.0000000000
159715611588,19717,-2,0,0.0000000000
159715611588,19717,-2,0,0.0000000000
159715611588,19717,-2,0,0.0000000000
159715611588,19717,-2,0,0.0000000000
159715611588,19717,-2,0,0.0000000000
159715611588,19717,-2,0,0.0000000000
159715611588,19717,-2,0,0.0000000000
