timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
159715027664,19697,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715035292,19698,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715048434,19699,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715078679,19700,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715108575,19701,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715141719,19702,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715171573,19703,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715202796,19704,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715231556,19705,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715262976,19706,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715300228,19707,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715390445,19708,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715425136,19709,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715433896,19710,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715438859,19711,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715448587,19712,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715479506,19713,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715527557,19714,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715545419,19715,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715579022,19716,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715611588,19717,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715640246,19718,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715672843,19719,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715775346,19720,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715784007,19721,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715789018,19722,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715797904,19723,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715829057,19724,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715855843,19725,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715889952,19726,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715920012,19727,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715951615,19728,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159715992802,19729,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716020248,19730,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716101637,19731,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716155442,19732,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716180342,19733,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716190379,19734,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716210258,19735,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716229006,19736,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716241478,19737,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716261662,19738,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716291300,19739,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716349809,19740,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716365379,19741,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716391483,19742,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716470351,19743,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716516664,19744,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716529168,19745,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716539107,19746,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716571575,19747,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716590222,19748,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716608133,19749,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716642701,19750,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716674172,19751,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716702392,19752,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716736467,19753,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716766549,19754,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716844103,19755,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716899134,19756,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716921546,19757,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716931572,19758,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716946604,19759,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716965404,19760,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159716983824,19761,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717014122,19762,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717048783,19763,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717085857,19764,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717103923,19765,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717153959,19766,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717236636,19767,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717251554,19768,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717258996,19769,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717286601,19770,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717300237,19771,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717330404,19772,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717360270,19773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717390251,19774,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717446500,19775,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717454134,19776,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717479932,19777,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717536462,19778,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717612820,19779,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717624022,19780,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717631671,19781,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717650248,19782,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717671560,19783,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717702847,19784,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717733997,19785,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717764164,19786,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717802803,19787,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717831535,19788,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717858230,19789,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717916172,19790,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159717941873,19791,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718000261,19792,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718009051,19793,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718029093,19794,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718052913,19795,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718089065,19796,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718115203,19797,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718136524,19798,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718176524,19799,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718212783,19800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718240204,19801,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718283744,19802,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718347920,19803,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718356611,19804,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718379141,19805,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718395252,19806,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718427982,19807,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718451563,19808,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718484033,19809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718515322,19810,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718545227,19811,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718578931,19812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718610347,19813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718688767,19814,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718749198,19815,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718757250,19816,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718765460,19817,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718774146,19818,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718799035,19819,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718832929,19820,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718871519,19821,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718916675,19822,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718922893,19823,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718953959,19824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159718985275,19825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719066570,19826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719090518,19827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719097181,19828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719107734,19829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719139094,19830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719170237,19831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719204109,19832,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719231572,19833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719280267,19834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159719297952,19835,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
