timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
160571210304,30823,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571247719,30824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571275051,30825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571303763,30826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571332826,30827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571362520,30828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571396537,30829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571473666,30830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571495094,30831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571503808,30832,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571532559,30833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571573927,30834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571583800,30835,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571634247,30836,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571651313,30837,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571676325,30838,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571706295,30839,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571740089,30840,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571769910,30841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571875298,30842,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571903839,30843,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571912650,30844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571918006,30845,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571933929,30846,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571960001,30847,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160571993791,30848,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572021395,30849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572051341,30850,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572083907,30851,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572118833,30852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572166300,30853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572238866,30854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572247755,30855,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572252048,30856,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572270187,30857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572301385,30858,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572337739,30859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572366515,30860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572397694,30861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572433997,30862,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572483803,30863,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572492597,30864,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572538901,30865,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572601408,30866,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572613878,30867,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572622788,30868,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572644114,30869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572675341,30870,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572731819,30871,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572740187,30872,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572770174,30873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572802673,30874,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572833951,30875,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572863957,30876,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572941504,30877,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572977647,30878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572985107,30879,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160572994012,30880,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573020352,30881,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573050914,30882,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573081443,30883,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573127705,30884,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573150325,30885,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573181409,30886,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573210204,30887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573241403,30888,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573320149,30889,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573338936,30890,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573352652,30891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573365138,30892,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573397312,30893,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573426026,30894,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573476942,30895,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573490058,30896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573523957,30897,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573558964,30898,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573586482,30899,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573637751,30900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573701504,30901,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573708985,30902,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573718861,30903,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573763798,30904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573775259,30905,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573804350,30906,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573834054,30907,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573865196,30908,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573896541,30909,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573927648,30910,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160573959125,30911,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574057697,30912,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574077776,30913,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574083427,30914,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574088826,30915,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574113961,30916,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574146374,30917,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574192618,30918,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160574212752,30919,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
