timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
158394385384,9429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394440358,9430,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394497794,9431,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394507646,9432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394513632,9433,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394543833,9434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394573925,9435,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394602882,9436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394628930,9437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394658733,9438,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394691402,9439,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394723492,9440,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394756549,9441,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394816512,9442,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394837747,9443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394866496,9444,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394885370,9445,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394913944,9446,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394946451,9447,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158394979352,9448,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158395005516,9449,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158395055140,9450,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
